bigg_id,name,reaction_string,ec_numbers
HMGL_1,Hydroxymethylglutaryl-coa lyase,hmgcoa_m <-> acac_m + accoa_m + h_m,4.1.3.4
MCTC,Methylcrotonoyl-coa carboxylase,3mb2coa_m + atp_m + hco3_m <-> 3mgcoa_m + adp_m + pi_m,6.4.1.4
MOD,3-methyl-2-oxobutanoate dehydrogenase,3mob_m + h_m + thmpp_m <-> 2mhop_m + co2_m,1.2.4.4
MOD_3mop,"3-methyl-2-oxobutanoate dehydrogenase, 3-Methyl-2-oxopentanoate transforming",3mop_m + h_m + thmpp_m <-> 2mhob_m + co2_m,1.2.4.4
MOD_4mop,"3-methyl-2-oxobutanoate dehydrogenase, 4-Methyl-2-oxopentanoate transforming",4mop_m + h_m + thmpp_m <-> 3mhtpp_m + co2_m,1.2.4.4
BCTA_glu_h,"Branched-chain-amino-acid transaminase, glutamate forming, chloroplast",akg_h + leu__L_h <-> 4mop_h + glu__L_h,2.6.1.42; 2.6.1.6; 2.6.1.67
BCTAh,"Branched-chain-amino-acid transaminase, chloroplast",3mop_h + glu__L_h <-> akg_h + ile__L_h,2.6.1.42
PYDXO_1,Pyridoxamine:oxygen oxidoreductase (deaminating),h2o_c + o2_c + pydam_c <-> h2o2_c + nh4_c + pydx_c,1.4.3; 1.4.3.5
23CN2P2,2  3  cyclic nucleotide 2  phosphodiesterase  2  3  cyclic UMP ,23cump_c + h2o_c <-> 3ump_c + h_c,3.1.4.16
23CN2P3,2  3  cyclic nucleotide 2  phosphodiesterase  2  3  cyclic CMP ,23ccmp_c + h2o_c <-> 3cmp_c + h_c,3.1.4.16
3NUCLE2,3  nucleotidase  3  UMP ,3ump_c + h2o_c <-> pi_c + uri_c,3.1.3.6
ACOAD20,Acyl CoA dehydrogenase  2 methylbutnoyl CoA ,2.0 2mbcoa_c + o2_c <-> 2.0 2mb2coa_c + 2.0 h2o_c,1.3.99.2
ACOAD4_1,Acyl CoA dehydrogenase  decanoyl CoA ,dccoa_c + nad_c <-> dc2coa_c + h_c + nadh_c,1.1.1; 1.3.99.3
ACODA_1,Acetylornithine deacetylase,acorn_c + h2o_c <-> ac_c + orn__L_c,3.5.1.14; 3.5.1.16
ALCD19_L,Alcohol dehydrogenase  L glyceraldehyde to glycerol  NADP ,Lglyald_c + h_c + nadph_c <-> glyc_c + nadp_c,1.1.1.372
ARGKr,ATPL arginine N phosphotransferase,arg__L_c + atp_c <-> adp_c + argp_c + h_c,2.7.3.3
ARGN_1,Arginase,arg__L_c + h2o_c <-> orn__L_c + urea_c,3.5.3.1
BG_MADG,Beta glucosidase  methyl alpha D glucoside ,h2o_e + madg_e <-> glc__D_e + meoh_e,3.2.1.21
BTS_1,Biotin synthase,dtbt_c + 2.0 s_c <-> btn_c + h_c + h2s_c,2.8.1.6
CHOLD2,Choline dehydrogenase  FAD dependent ,chol_c + fad_c <-> betald_c + fadh2_c,1.1.99.1
CYSS_2,Cysteine synthase,acser_c + h2s_c <-> ac_c + cys__L_c,2.5.1.47; 2.5.1.65
ECOAH1_1,3 hydroxyacyl CoA dehydratase  3 hydroxybutanoyl CoA ,3hbycoa_c <-> b2coa_c + h2o_c,4.2.1.150; 4.2.1.17; 4.2.1.55
ECOAH5_1,3 hydroxyacyl CoA dehydratase  3 hydroxydodecanoyl CoA ,3hddcoa_c <-> h2o_c + trans_dd2coa_c,4.2.1.17; 4.2.1.74
FACOAL180_2,Fatty acid  CoA ligase  octadecanoate ,atp_c + coa_c + ocdca_c <-> amp_c + ppi_c + strcoa_c,6.2.1.3
FLVR_1,Flavin reductase,h_c + nadph_c + ribflv_c <-> nadp_c + ribflvRD_c,1.5.1.30; 1.5.1.41
FMETTRS_1,Methionyl tRNA formyltransferase,10fthf_c + mettrna_c <-> fmettrna_c + thf_c,2.1.2.9
GALCTD_1,Galactarate dehydratase,galctr__D_c <-> 5d4dglcr_c + h2o_c,4.2.1.42
GALS1,A galactosidase  galactomannan ,galman_c + h2o_c <-> gal_c,3.2.1.22
GALS4,A galactosidase  stachyose ,h2o_c + stchs_c <-> gal_c + raffin_c,3.2.1.22; 3.2.1.26
GLXCBL,Glyoxalate carboligase,2.0 glx_c + h_c <-> 2h3opp_c + co2_c,4.1.1.47
GNKr,Gluconokinase,atp_c + glcn__D_c <-> 6pgc_c + adp_c + h_c,2.7.1.12
HACD1_1,3 hydroxyacyl CoA dehydrogenase  acetoacetyl CoA ,aacoa_c + h_c + nadh_c <-> 3hbycoa_c + nad_c,1.1.1.35
HIBHr,3 hydroxyisobutyryl CoA hydrolase,h2o_c + hibcoa_c <-> 3hmp_c + coa_c + 2.0 h_c,3.1.2.4
HOXPRx,2 hydroxy 3 oxopropionate reductase  NAD ,glyc__R_c + nad_c <-> 2h3opp_c + h_c + nadh_c,1.1.1; 1.1.1.60
HSTPTr,Histidinol phosphate transaminase,glu__L_c + imacp_c <-> akg_c + h_c + hisp_c,2.6.1.9
HXAD,Hexosaminidase,chitob_c + h2o_c <-> 2.0 acgam_c,3.2.1.52
IG3PS_1,Imidazole glycerol 3 phosphate synthase,gln__L_c + prlp_c <-> aicar_c + eig3p_c + glu__L_c + 2.0 h_c,2.4.2.-; 4.1.3.-; 4.3.2.
IZPN_1,Imidazolonepropionase,4izp_c + h2o_c <-> forglu_c,3.5.2; 3.5.2.7
LAAL36,L amino acid ligase  ala gln ,ala__L_c + atp_c + gln__L_c <-> adp_c + ala_L_gln__L_c + h_c + pi_c,6.3.2.28
MPL,Maltose phosphorylase,malt_c + pi_c <-> g1p_B_c + glc__D_c,2.4.1.8
NADK1,NAD kinase  GTP ,gtp_c + nad_c <-> gdp_c + h_c + nadp_c,2.7.1.23
NADK3,NAD kinase  dGTP ,dgtp_c + nad_c <-> dgdp_c + h_c + nadp_c,2.7.1.23
NAabcO,Sodium transport out via ABC system,atp_c + h2o_c + na1_c <-> adp_c + h_c + pi_c + na1_e,3.6.3.15; 3.6.3.7
ORNTA_1,Ornithine transaminase,akg_c + orn__L_c <-> glu__L_c + glu5sa_c,2.6.1.13
ORNTAC_1,Ornithine transacetylase,acorn_c + glu__L_c <-> acglu_c + orn__L_c,2.3.1.35
PGMT_B,B phosphoglucomutase,g6p_B_c <-> g1p_B_c,5.4.2.6
PRAMPC_1,Phosphoribosyl AMP cyclohydrolase,h_c + h2o_c + prbamp_c <-> prfp_c,3.5.4.19
PRFGS_1,Phosphoribosylformylglycinamidine synthase,atp_c + fgam_c + gln__L_c + h2o_c <-> adp_c + fpram_c + glu__L_c + 2.0 h_c + pi_c,6.3.5.3
PROLBabc,Proline betaine transport in via ABC system,atp_c + h2o_c + prolb_e <-> adp_c + h_c + pi_c + prolb_c,3.6.3.32
RHCYS,5 deoxyribos 5 ylhomocysteinase,h2o_c + rhcys_c <-> hcys__L_c + rib__D_c,4.4.1.21
SALADC2,Sulfinoalanine decarboxylase,Lcyst_c <-> co2_c + taur_c,4.1.1.15; 4.1.1.29
SHCHF_2,Sirohydrochlorin ferrochetalase,fe2_c + srch_c <-> 2.0 h_c + sheme_c,4.99.1.4
SHSL2,O succinylhomoserine lyase  H2S ,h2s_c + suchms_c <-> hcys__L_c + succ_c,2.5.1.-; 2.5.1.48
TARTDC,Tartrate decarboxylase,h_c + tartr__L_c <-> co2_c + glyc__R_c,4.1.1.73
VALDHr,Valine dehydrogenase,h2o_c + nad_c + val__L_c <-> 3mob_c + h_c + nadh_c + nh4_c,1.4.1.23; 1.4.1.9
ACSOMT,S-Adenosyl-L-methionine:N-acetylserotonin O-methyltransferase,5hoxindoa_c + amet_c <-> 5moxact_c + ahcys_c + h_c,2.1.1.4
ACSRTNMT,S-Adenosyl-L-homocysteine:N-acetylserotonin O-methyltransferase,Nacsertn_c + amet_c <-> ahcys_c + h_c + melatn_c,2.1.1.4
ALCD21_D,"Alcohol dehydrogenase (D-1,2-propanediol)",12ppd__R_c + nad_c <-> h_c + lald__D_c + nadh_c,1.1.1.77
ALCD22_L,Alcohol dehydrogenase (L-lactaldehyde),lald__L_c + nad_c <-> h_c + mthgxl_c + nadh_c,1.1.1.21; 1.1.1.6; 1.1.1.78
GLUDym,"Glutamate dehydrogenase (NADP), mitochondrial",glu__L_m + h2o_m + nadp_m <-> akg_m + h_m + nadph_m + nh4_m,1.4.1.13; 1.4.1.3; 1.4.1.4
STS2,Steryl-sulfatase,estrones_c + h2o_c <-> estrone_c + h_c + so4_c,3.1.6.2
STS2r,Steryl-sulfatase,estrones_r + h2o_r <-> estrone_r + h_r + so4_r,3.1.6.2
STS3,Steryl-sulfatase,chsterols_c + h2o_c <-> chsterol_c + h_c + so4_c,3.1.6.2
STS4,Steryl-sulfatase,h2o_c + prgnlones_c <-> h_c + prgnlone_c + so4_c,3.1.6.2
UGT1A2r,"UDP-glucuronosyltransferase 1-10 precursor, microsomal",bilirub_r + 2.0 udpglcur_r <-> bildglcur_r + 2.0 udp_r,2.4.1.95
UGT1A3r,"UDP-glucuronosyltransferase 1-10 precursor, microsomal",andrstrn_r + udpglcur_r <-> andrstrnglc_r + udp_r,2.4.1.17
UGT1A4r,"UDP-glucuronosyltransferase 1-10 precursor, microsomal",tststerone_r + udpglcur_r <-> tststeroneglc_r + udp_r,2.4.1.17
UGT1A5r,"UDP-glucuronosyltransferase 1-10 precursor, microsomal",retn_r + udpglcur_r <-> retnglc_r + udp_r,2.4.1.17
UGT1A7r,"UDP-glucuronosyltransferase 1-10 precursor, microsomal",ahandrostan_r + udpglcur_r <-> ahandrostanglc_r + udp_r,2.4.1.17
UGT1A8r,"UDP-glucuronosyltransferase 1-10 precursor, microsomal",estriol_r + udpglcur_r <-> estriolglc_r + udp_r,2.4.1.17
SK_ca2_c,Sink ca2 c,ca2_c <-> ,3.6.3.8
CA2t,Calcium (Ca+2) transport via diffusion (extracellular to periplasm),ca2_e <-> ca2_c,3.6.3.8
DM_nadh,Demand NADH,nadh_c <-> h_c + nad_c,1.8.1.15
3HKYNAKGATm,3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase,akg_m + hLkynr_m <-> 42A3HP24DB_m + glu__L_m,2.6.1.7
ADNK1n,"Adenosine kinase, nucleus",adn_n + atp_n <-> adp_n + amp_n + h_n,2.7.1.20; 2.7.1.74
ADSKn,"Adenylyl-sulfate kinase, nuclear",aps_n + atp_n <-> adp_n + h_n + paps_n,2.7.1.25
AGXT2L2,5-phosphonooxy-L-lysine phosphate-lyase,h2o_c + pholys_c <-> L2aadp6sa_c + nh4_c + pi_c,4; 4.2.3.134
B3GALT3g_cho,"Beta-1,3-galactosyltransferase 3",thcrm_cho_g + udpacgal_g <-> gbside_cho_g + h_g + udp_g,2.4.1.79
B3GALT43g_cho,"Beta-1,3-galactosyltransferase 4",gd2_cho_g + udpgal_g <-> gd1b_cho_g + h_g + udp_g,2.4.1.62
BILIRED2,Nadh biliverdin reductase,biliverd_c + h_c + nadh_c <-> bilirub_c + nad_c,1.3.1.24
CHOLESTle,Hydrolysis of cholesterol ester by cholesterol esterase,h2o_e + xolest2_cho_e <-> Rtotal_e + chsterol_e + h_e,3.1.1.13
CKc_cho,ATP Creatine kinase (c),atp_c + creat_c <-> adp_c + h_c + pcreat_c,2.7.3.2
CYOOm2_cho,"Cytochrome c oxidase, mitochondrial Complex IV",4.0 focytC_m + 8.0 h_m + o2_m <-> 4.0 ficytC_m + 2.0 h2o_m + 4.0 h_im,1.9.3.1
CYP2R1,Vitamin D3 25-hydroxylase,h_c + nadph_c + o2_c + vitd3_c <-> 25hvitd3_c + h2o_c + nadp_c,1.14.13.159
DADNKn,"Deoxyadenosine kinase, nuclear",atp_n + dad_2_n <-> adp_n + damp_n + h_n,2.7.1.145; 2.7.1.74; 2.7.1.76
DATPDPm,"DATP diphosphatase, mitochondrial",datp_m + h2o_m <-> damp_m + h_m + ppi_m,3.6.1.19; 3.6.1.9
DCTPDPm,"DCTP diphosphatase, mitochondrial",dctp_m + h2o_m <-> dcmp_m + h_m + ppi_m,3.6.1.12; 3.6.1.65; 3.6.1.9
DCTPDPn,"DCTP diphosphatase, nuclear",dctp_n + h2o_n <-> dcmp_n + h_n + ppi_n,3.6.1.12; 3.6.1.65; 3.6.1.9
DHDDH,Dihydrodiol dehydrogenase,dhnpthld_c + nadp_c <-> nadph_c + npthld_c,1.1.1.50; 1.3.1.20
DOLDPPer,"Dolichyl-diphosphate phosphohydrolase, human (CHO)",doldp_r + h2o_r <-> dolp_r + h_r + pi_r,3.6.1.43
DTMPKm,DTMP kinase in mitochondria,atp_m + dtmp_m <-> adp_m + dtdp_m,2.7.4.12; 2.7.4.13; 2.7.4.9
DTTPDPn,"DTTP diphosphatase, nuclear",dttp_n + h2o_n <-> dtmp_n + h_n + ppi_n,3.6.1.19; 3.6.1.9
FAOXC16Brx,Phyt fatty acid activation,atp_x + coa_x + phyt_x <-> amp_x + phytcoa_x + ppi_x,6.2.1.24
FEROc,Ferroxidase,4.0 fe2_c + 4.0 h_c + o2_c <-> 4.0 fe3_c + 2.0 h2o_c,1.16.3.1
FUMAH,Fumarylpyruvate hydrolase,fumpyr_c + h2o_c <-> fum_c + h_c + pyr_c,3.7.1.20; 3.7.1.5
FUT14g_cho,Galactoside 2-alpha-L-fucosyltransferase 1,gal14acglcgalgluside_cho_g + gdpfuc_g <-> fuc12gal14acglcgalgluside_cho_g + gdp_g + h_g,2.4.1.69
FUT31g_cho,"Fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included) 1",galacglcgalgluside_cho_g + gdpfuc_g <-> fuc14galacglcgalgluside_cho_g + gdp_g + h_g,2.4.1.65
FUT91g_cho,"Alpha-(1,3)-fucosyltransferase",gal14acglcgalgluside_cho_g + gdpfuc_g <-> fucgal14acglcgalgluside_cho_g + gdp_g + h_g,2.4.1.152
FUT92g_cho,"Alpha-(1,3)-fucosyltransferase",acngal14acglcgalgluside_cho_g + gdpfuc_g <-> fucacngal14acglcgalgluside_cho_g + gdp_g + h_g,2.4.1.152
FUT93g_cho,"Alpha-(1,3)-fucosyltransferase",fuc12gal14acglcgalgluside_cho_g + gdpfuc_g <-> fucfuc12gal14acglcgalgluside_cho_g + gdp_g + h_g,2.4.1.152
G12MT1_cho,"Glycolipid 1,2-alpha-D-mannosyltransferase",gdpmann_c + m2mpdol_c <-> gdp_c + h_c + m3mpdol_c,2.4.1.131
GAL3ST12_cho,Galactosylceramide sulfotransferase,digalside_cho_g + paps_g <-> digalsgalside_cho_g + h_g + pap_g,2.8.2.11
GBAl_cho,Glucosylceramidase,gluside_cho_l + h2o_l <-> crm_cho_l + glc__D_l,3.2.1.45; 3.2.1.62
GLCNACT_cho,UDP-GlcNAc:N-acetyl-D-glucosaminyl diphosphodolichol N-acetyl-D-glucosaminyltransferase,naglc2p_c + uacgam_c <-> chito2pdol_c + h_c + udp_c,2.4.1.141
GULOer,"Gulonolactone oxidase, endoplasmic reticulum",gullac_r + o2_r <-> ascb__L_r + h2o2_r + h_r,1.1.3.8
HCO3Ee,"HCO3 equilibration reaction, extracellular",co2_e + h2o_e <-> h_e + hco3_e,4.2.1.1
HMGLr,Hydroxymethylglutaryl-CoA lyase,hmgcoa_r <-> acac_r + accoa_r,4.1.3.4
ILEOX,L-Isoleucine oxidase,h2o_c + ile__L_c + o2_c <-> 3mop_c + h2o2_c + nh4_c,1.4.3.2
KYNAKGATm,"L-Kynurenine:2-oxoglutarate aminotransferase, mitochondrial",Lkynr_m + akg_m <-> 4aphdob_m + glu__L_m,2.6.1.7
LEUGLYHYc,Hydrolysis of leucylglycine,h2o_c + leugly_c <-> gly_c + leu__L_c,3.4.11.1
METOX,L-Methionine oxidase,h2o_c + met__L_c + o2_c <-> 2kmb_c + h2o2_c + nh4_c,1.4.3.2
MINOHPKn,"Inositol hexakisphosphate kinase, nuclear",atp_n + minohp_n <-> adp_n + ppmi12346p_n,2.7.4.21
NMNSn,"NMN synthetase, nuclear",h_n + ncam_n + prpp_n <-> nmn_n + ppi_n,2.4.2.12
PHACCOAGLYACm,Glycine N-phenylacetyltransferase,gly_m + phaccoa_m <-> coa_m + h_m + pheacgly_m,2.3.1.13; 2.3.1.192
PI34P3P,"Phosphatidylinositol-3,4-bisphosphate 3-phosphatase",h2o_c + pail34p_cho_c <-> pail4p_cho_c + pi_c,3.1.3.64; 3.1.3.67
PI34P4Pn_cho,"Phosphatidylinositol-3,4-bisphosphate 4-phosphatase, nuclear",h2o_n + pail34p_cho_n <-> pail3p_cho_n + pi_n,3.1.3.66
PI3P3Pn_cho,"Phosphatidylinositol-3-phosphate 3-phosphatase, nuclear",h2o_n + pail3p_cho_n <-> pail_cho_n + pi_n,3.1.3.64; 3.1.3.67
PI3P4K_cho,Phosphatidylinositol 3-phosphate 4-kinase,atp_c + pail3p_cho_c <-> adp_c + h_c + pail34p_cho_c,2.7.1; 2.7.1.149; 2.7.1.68
PI45P3K_cho,"Phosphatidylinositol 4,5-bisphosphate 3-kinase",atp_c + pail45p_cho_c <-> adp_c + h_c + pail345p_cho_c,2.7.1.153
PI45P4P_cho,"Phosphatidylinositol-4,5-bisphosphate 4-phosphatase",h2o_c + pail45p_cho_c <-> pail5p_cho_c + pi_c,3.1.3.66; 3.1.3.78
PI4P3K_cho,Phosphatidylinositol 4-phosphate 3-kinase,atp_c + pail4p_cho_c <-> adp_c + h_c + pail34p_cho_c,2.7.1.154
PI4P3Kn_cho,"Phosphatidylinositol 4-phosphate 3-kinase, nuclear",atp_n + pail4p_cho_n <-> adp_n + h_n + pail34p_cho_n,2.7.1.154
PI4P5K_cho,Phosphatidylinositol 4-phosphate 5-kinase,atp_c + pail4p_cho_c <-> adp_c + h_c + pail45p_cho_c,2.7.1.68
PI5P4Kn_cho,"Phosphatidylinositol-5-phosphate 4-kinase, nuclear",atp_n + pail5p_cho_n <-> adp_n + h_n + pail45p_cho_n,2.7.1.149
PIK3_cho,Phosphatidylinositol 3-kinase,atp_c + pail_cho_c <-> adp_c + h_c + pail3p_cho_c,2.7.1.137; 2.7.1.154
PIK3n_cho,"Phosphatidylinositol 3-kinase, nuclear",atp_n + pail_cho_n <-> adp_n + h_n + pail3p_cho_n,2.7.1.137; 2.7.1.154
PIK4n_cho,"Phosphatidylinositol 4-kinase, nuclear",atp_n + pail_cho_n <-> adp_n + h_n + pail4p_cho_n,2.7.1.67
PIK5n_cho,"Phosphatidylinositol 5-kinase, nuclear",atp_n + pail_cho_n <-> adp_n + h_n + pail5p_cho_n,2.7.1.150
PSSA1_cho,Phosphatidylserine synthase cho,pchol_cho_c + ser__L_c <-> chol_c + ps_cho_c,2.7.8
PTPATe,"Phosphopantetheine Adenylyltransferase, Extracellular",atp_e + h_e + pan4p_e <-> dpcoa_e + ppi_e,2.7.7.3
RE0066C,RE0066,C01241_c + amet_c <-> C04308_c + ahcys_c + 2.0 h_c,2.1.1.103; 2.1.1.16; 2.1.1.71
RE0344M,RE0344,h2o_m + stcoa_m <-> coa_m + h_m + ocdca_m,3.1.2.2
RE0570C,RE0570,CE2250_c + h_c + nadph_c <-> CE2246_c + nadp_c,1.1.1.330
RE0572N,RE0572,CE2242_n + h_n + nadph_n <-> docoscoa_n + nadp_n,1.3.1.93
RE0574C,RE0574,CE2253_c + h_c + nadph_c <-> CE2249_c + nadp_c,1.1.1.330
RE0580R,RE0580,h_r + malcoa_r + pmtcoa_r <-> 3ohodcoa_r + co2_r + coa_r,2.3.1.199
RE0581R,RE0581,3ohodcoa_r + h_r + nadph_r <-> CE2248_r + nadp_r,1.1.1.211; 1.1.1.330
RE0583N,RE0583,h_n + nadph_n + od2coa_n <-> nadp_n + stcoa_n,1.3.1; 1.3.1.38; 1.3.1.93
RE0691C,RE0691,4abutn_c <-> CE1944_c + h2o_c,2.6.1.82
RE0935E,Alpha-Amylase,h2o_e + malthx_e <-> glc__D_e + maltpt_e,3.2.1.20
RE1238X,RE1238,accoa_x + sprm_x <-> N1sprm_x + coa_x + h_x,2.3.1.57
RE1441G,RE1441,atp_g + pail_cho_g <-> adp_g + h_g + pail5p_cho_g,2.7.1.150
RE1441R,RE1441,atp_r + pail_cho_r <-> adp_r + h_r + pail5p_cho_r,2.7.1.150
RE1447M,RE1447,h2o_m + pail45p_cho_m <-> pail5p_cho_m + pi_m,3.1.3.66; 3.1.3.78
RE1447N,RE1447,h2o_n + pail45p_cho_n <-> pail5p_cho_n + pi_n,3.1.3.66; 3.1.3.78
RE1537C,N1-acetylspermidine oxidase,N1aspmd_c + h2o_c + o2_c <-> 3aap_c + h2o2_c + ptrc_c,1.5.3.13; 1.5.3.17
RE1537X,RE1537,N1aspmd_x + h2o_x + o2_x <-> 3aap_x + h2o2_x + ptrc_x,1.5.3.13; 1.5.3.17
RE1539C,N1-acetylspermine oxidase,N1sprm_c + h2o_c + o2_c <-> 3aap_c + h2o2_c + spmd_c,1.5.3.13; 1.5.3.17
RE1539X,RE1539,N1sprm_x + h2o_x + o2_x <-> 3aap_x + h2o2_x + spmd_x,1.5.3.13; 1.5.3.17
RE1630R,RE1630,C05298_r + amet_r <-> C05299_r + ahcys_r + h_r,2.1.1.6
RE1711C_2,RE1711,CE1918_c + nad_c <-> 5hoxindact_c + h_c + nadh_c,1.1.1.1
RE1796C,RE1796,nad_c + xol7a_c <-> h_c + nadh_c + xol7aone_c,1.1.1.181
RE1803C,RE1803,h_c + nadph_c + o2_c + xol27oh_c <-> h2o_c + nadp_c + xoltri27_c,1.14.13.17
RE1835C,Palmitoyl Coenzyme A Hydrolase,dcholcoa_c + h2o_c <-> C02528_c + coa_c + h_c,3.1.2.27
RE1835M,RE1835,dcholcoa_m + h2o_m <-> C02528_m + coa_m + h_m,3.1.2.27
RE1845C,Bile Acid-CoA:Amino Acid N-Acyltransferase,dcholcoa_c + taur_c <-> coa_c + tdchola_c,2.3.1.65
RE1860E,"2',3'-Cyclic-Nucleotide 3'-Phosphodiesterase",23cump_e + h2o_e <-> 3ump_e + h_e,3.1.4.16
RE1933C,Arylesterase,CE1401_c + h2o_c <-> h_c + hcys__L_c,3.4.22.40
RE2030M,Amino-Acid N-Acetyltransferase,accoa_m + met__L_m <-> C02712_m + coa_m + h_m,2.3.1.1
RE2034C,Alanine Transaminase,C02356_c + akg_c <-> 2obut_c + glu__L_c,2.6.1.42
RE2124C,RE2124,amet_c + tym_c <-> C02442_c + ahcys_c + h_c,2.1.1.27
RE2133C,RE2133,amet_c + ind3ac_c <-> CE2122_c + ahcys_c,2.1.1.278
RE2235C,Unspecific Monooxygenase,estrone_c + h_c + nadph_c + o2_c <-> C05300_c + h2o_c + nadp_c,1.14.13.-; 1.14.14.1
RE2235R,Unspecific Monooxygenase,estrone_r + h_r + nadph_r + o2_r <-> C05300_r + h2o_r + nadp_r,1.14.13.-; 1.14.14.1
RE2240C,RE2240,25hvitd3_c + h_c + nadph_c + o2_c <-> 2425dhvitd3_c + h2o_c + nadp_c,1.14.13.126
RE2386C,Catechol O-Methyltransferase,C05301_c + amet_c <-> C05302_c + ahcys_c + h_c,2.1.1.6
RE2387R,RE2387,avite1_r + h_r + nadph_r + o2_r <-> CE5842_r + h2o_r + nadp_r,1.14.13.30
RE2410C,7-Dehydrocholesterol Reductase,ddsmsterol_c + h_c + nadph_c <-> dsmsterol_c + nadp_c,1.3.1.21
RE2972R,RE2972,atp_r + pail5p_cho_r <-> adp_r + h_r + pail45p_cho_r,2.7.1.149
RE2974G,RE2974,atp_g + pail3p_cho_g <-> adp_g + h_g + pail35p_cho_g,2.7.1.150
RE2974R,RE2974,atp_r + pail3p_cho_r <-> adp_r + h_r + pail35p_cho_r,2.7.1.150
RE3013R,RE3013,estradiol_r + h_r + nadph_r + o2_r <-> C05301_r + h2o_r + nadp_r,1.14.14.1
RE3511C,RE3511,C04308_c + amet_c <-> ahcys_c + pchol_cho_c,2.1.1.16; 2.1.1.71
RE3511R,RE3511,C04308_r + amet_r <-> ahcys_r + pchol_cho_r,2.1.1.16; 2.1.1.71
SADTn,"Sulfate adenylyltransferase, nuclear",atp_n + h_n + so4_n <-> aps_n + ppi_n,2.7.7.4
SELNPS_cho,Selenophosphate synthase,atp_c + h2o_c + seln_c <-> amp_c + 2.0 h_c + pi_c + selnp_c,2.7.9.3
SERR,Serine racemase,ser__L_c <-> ser__D_c,5.1.1.10; 5.1.1.18
ST3GAL23g_cho,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase, Golgi apparatus",cmpacna_g + gd1b_cho_g <-> cmp_g + gt1b_cho_g + h_g,2.4.99.4
ST3GAL61g_cho,"Type 2 lactosamine alpha-2,3-sialyltransferase",cmpacna_g + gal14acglcgalgluside_cho_g <-> acngal14acglcgalgluside_cho_g + cmp_g + h_g,2.4.99.6
ST8SIA56g_cho,"Alpha-2,8-sialyltransferase 8E",acngal14acglcgalgluside_cho_g + cmpacna_g <-> acnacngal14acglcgalgluside_cho_g + cmp_g + h_g,2.4.99.8
TRPOX,L-Tryptophan oxidase,h2o_c + o2_c + trp__L_c <-> h2o2_c + indpyr_c + nh4_c,1.4.3.2
UGCG_cho,Ceramide glucosyltransferase,crm_cho_r + udpg_r <-> gluside_cho_r + h_r + udp_r,2.4.1.80
XAO2,Xanthine oxidase (hypoxanthine),h2o_c + hxan_c + o2_c <-> h2o2_c + xan_c,1.17.3.2
XYLOR,D-xylose:NADP+ 1-oxidoreductase,nadp_c + xyl__D_c <-> h_c + nadph_c + xylnact__D_c,1.1.1.179
r0013,Beta-N-acetylhexosaminidase Aminosugars metabolism EC:3.2.1.52,HC00822_l + h2o_l <-> 2.0 acgam_l,3.2.1.52
r0016,Fe(II):oxygen oxidoreductase Porphyrin and chlorophyll metabolism EC:1.16.3.1,4.0 fe2_e + 4.0 h_e + o2_e <-> 4.0 fe3_e + 2.0 h2o_e,1.16.3.1
r0027,NADPH:CoA-glutathione oxidoreductase EC:1.8.1.9,2.0 cys__L_c + nadp_c <-> cysi__L_c + h_c + nadph_c,1.8.1.10
r0068,Acetyl adenylate:CoA ligase (AMP-forming) Pyruvate metabolism EC:6.2.1.1,HC01672_c + coa_c <-> accoa_c + amp_c + h_c,6.2.1.1
r0074,L-Glutamate 5-semialdehyde:NAD+ oxidoreductase Arginine and proline metabolism EC:1.5.1.12,glu5sa_m + h2o_m + nad_m <-> glu__L_m + 2.0 h_m + nadh_m,1.2.1.88; 1.5.1.12
r0082,Oxalosuccinate:NADP+ oxidoreductase (decarboxylating) Citrate cycle (TCA cycle) EC:1.1.1.42,HC01434_c + h_c <-> akg_c + co2_c,1.1.1.42
r0083,Oxalosuccinate:NADP+ oxidoreductase (decarboxylating) Citrate cycle (TCA cycle) EC:1.1.1.42,HC01434_m + h_m <-> akg_m + co2_m,1.1.1.42
r0085,2-Oxoglutaramate amidohydrolase Glutamate metabolism EC:3.5.1.3,HC00591_c + h2o_c <-> akg_c + nh4_c,3.5.1.111; 3.5.1.3
r0086,2-Oxoglutaramate amidohydrolase Glutamate metabolism EC:3.5.1.3,HC00591_m + h2o_m <-> akg_m + nh4_m,3.5.1.111; 3.5.1.3
r0139,CDP diphosphohydrolase Pyrimidine metabolism EC:3.6.1.5,cdp_e + h2o_e <-> cmp_e + h_e + pi_e,3.6.1.5; 3.6.1.6
r0163,2-oxoglutarate dehydrogenase E1 component Citrate cycle (TCA cycle) EC:1.2.4.2,akg_m + h_m + thmpp_m <-> HC01435_m + co2_m,1.2.4.2
r0166,Uridine triphosphate pyrophosphohydrolase Pyrimidine metabolism EC:3.6.1.19,h2o_e + utp_e <-> h_e + ppi_e + ump_e,3.6.1.8; 3.6.1.9
r0173,(S)-Lactate:NAD+ oxidoreductase Glycolysis / Gluconeogenesis / Pyruvate metabolism EC:1.1.1.27,lac__L_x + nad_x <-> h_x + nadh_x + pyr_x,1.1.1.27
