"Abbreviation"	"Reaction"	"Description"	"Reaction_desc"
"R01474"	"C00190[c] <=> C06016[c] + C00015[c]"	"X"	"UDP-D-xylose <=> Pentosan + UDP"
"R05945"	"G10616 + G00111 <=> G10621 + G00128"	"X"	"G10616 + G00111 <=> G10621 + G00128"
"R08801"	"C17744[c] <=> C17745[c]"	"X"	"1-(4-Hydroxyphenyl)-1-decene-3,5-dione <=> 1-(3,4-Dihydroxyphenyl)-1-decene-3,5-dione"
"R04840"	"C05476[c] + C00006[c] <=> C05478[c] + C00005[c] + C00080[c]"	"tetrahydrocorticosterone:NADP+ 11-oxidoreductase"	"Tetrahydrocorticosterone + NADP+ <=> 3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione + NADPH + H+"
"R05055"	"C05951[c] + C00001[c] <=> C05952[c] + C00037[c]"	"X"	"Leukotriene D4 + H2O <=> Leukotriene E4 + Glycine"
"R13173"	"G00054 + G10615 <=> G00734 + G10620"	"alpha-(1->3)-L-fucosyltransferase"	"G00054 + G10615 <=> G00734 + G10620"
"R08536"	"C01722[c] + C00003[c] <=> C01719[c] + C00004[c] + C00080[c]"	"L-glucitol:NAD+ 2-oxidoreductase"	"L-Glucitol + NAD+ <=> L-Fructose + NADH + H+"
"R03540"	"C01384[c] + C00014[c] <=> C01596[c] + C00001[c]"	"maleamate amidohydrolase"	"Maleic acid + Ammonia <=> Maleamate + H2O"
"R12252"	"C22038[c] + C00006[c] <=> C04045[c] + C00005[c] + C00080[c]"	"(R)-3-(4-hydroxyphenyl)lactate:NADP+ oxidoreductase"	"(R)-3-(3,4-Dihydroxyphenyl)lactate + NADP+ <=> 3-(3,4-Dihydroxyphenyl)pyruvate + NADPH + H+"
"R03613"	"C00002[c] + C01573[c] + C00014[c] + C00080[c] <=> C00020[c] + C00013[c] + C02872[c]"	"diphthine:ammonia ligase (AMP-forming)"	"ATP + Peptide diphthine + Ammonia + H+ <=> AMP + Diphosphate + Peptide diphthamide"
"R00774"	"C00002[c] + C00086[c] + C00288[c] <=> C00008[c] + C00009[c] + C01010[c]"	"urea:carbon-dioxide ligase (ADP-forming)"	"ATP + Urea + HCO3- <=> ADP + Orthophosphate + Urea-1-carboxylate"
"R09281"	"C00989[c] + C00006[c] <=> C00232[c] + C00080[c] + C00005[c]"	"4-hydroxybutanoate:NADP+ oxidoreductase"	"4-Hydroxybutanoic acid + NADP+ <=> Succinate semialdehyde + H+ + NADPH"
"R02642"	"C02797[c] + C00028[c] <=> C00619[c] + C00030[c]"	"3-oxo-5beta-steroid:(acceptor) delta4-oxidoreductase"	"3-Oxo-5beta-steroid + Acceptor <=> 3-Oxo-Delta4-steroid + Reduced acceptor"
"R09204"	"C07535[c] + C00007[c] + C00004[c] + C00080[c] <=> C18270[c] + C00003[c]"	"X"	"Benzo[a]pyrene + Oxygen + NADH + H+ <=> Benzo[a]pyrene-cis-4,5-dihydrodiol + NAD+"
"R04608"	"C04867[c] + C00001[c] <=> C04834[c] + C00132[c]"	"methyl-(2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyl-trideca-2,6-dienoate acylhydrolase"	"Juvenile hormone II + H2O <=> Juvenile hormone II acid + Methanol"
"R02465"	"C00518[c] <=> 1 C04794[c]"	"hyaluronate lyase"	"Hyaluronate <=> 1 3-(4-Deoxy-beta-D-gluc-4-enuronosyl)-N-acetyl-D-glucosamine"
"R05116"	"C00128[c] + C06141[c] <=> C00055[c] + C06140[c]"	"X"	"CMP-N-acetylneuraminate + GD1b <=> CMP + GT1b"
"R11304"	"C17705[c] <=> C02033[c]"	"X"	"Antibiotic JI-20B <=> Gentamicin C2"
"R06589"	"C12213[c] <=> C12214[c]"	"X"	"Kanosamine 6-phosphate <=> Aminofructose 6-phosphate"
"R09178"	"C18259[c] + C00007[c] <=> C18262[c] + C00001[c]"	"X"	"1-Methoxypyrene + Oxygen <=> 1-Methoxypyrene-6,7-oxide + H2O"
"R11973"	"C21796[c] + 3 C03024[c] + 3 C00007[c] <=> C21818[c] + 3 C03161[c] + 4 C00001[c]"	"11-hydroxyferruginol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase"	"11-Hydroxyferruginol + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> Carnosic acid + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O"
"R09155"	"C18247[c] <=> C18248[c] + C01327[c]"	"X"	"1,1-Dichloroethane <=> Chloroethane + Hydrochloric acid"
"R09343"	"C18679[c] <=> C12390[c]"	"X"	"2,3-Dehydro-UWM6 <=> Dehydrorabelomycin"
"R01338"	"C00538[c] + C00006[c] + C00001[c] <=> C00161[c] + C00005[c] + C00080[c]"	"2-oxoaldehyde:NADP+ oxidoreductase"	"2-Oxoaldehyde + NADP+ + H2O <=> 2-Oxo acid + NADPH + H+"
"R05609"	"C06322[c] <=> C09809[c]"	"X"	"Cyclohexa-1,5-diene-1-carbonyl-CoA <=> Cyclohexa-2,5-diene-1-carbonyl-CoA"
"R04470"	"C06037[c] + C00001[c] <=> C03692[c] + C00124[c]"	"digalactosyl-diacylglycerol galactohydrolase"	"Digalactosyl-diacylglycerol + H2O <=> 1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol + D-Galactose"
"R09431"	"C19563[c] <=> C19564[c] + C00067[c]"	"X"	"4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone <=> 4-(Nitrosoamino)-1-(3-pyridinyl)-1-butanone + Formaldehyde"
"R09765"	"C19875[c] + C04121[c] <=> C19876[c] + C00055[c]"	"CMP-3-deoxy-D-manno-oct-2-ulosonate:(KDO)3-lipid IVA 3-deoxy-D-manno-oct-2-ulosonate transferase [(2->4) glycosidic bond-forming]"	"alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA + CMP-3-deoxy-D-manno-octulosonate <=> alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA + CMP"
"R05112"	"C06136[c] + C00001[c] <=> C06135[c] + C00124[c]"	"Gal-beta1->3GalNAc-beta1->4Gal-beta1->4Glc-beta1->1'Cer (GA1) galactohydrolase"	"GA1 + H2O <=> GA2 + D-Galactose"
"R02226"	"C00002[c] + C00413[c] <=> C00013[c] + C03462[c]"	"ATP:streptomycin 3''-adenylyltransferase"	"ATP + Streptomycin <=> Diphosphate + 3''-Adenylylstreptomycin"
"R12326"	"C22080[c] + 2 C00138[c] + C00007[c] + 2 C00080[c] <=> C15689[c] + 2 C00139[c] + 2 C00001[c]"	"X"	"(7R)-7-Hydroxyluteothin + 2 Reduced ferredoxin + Oxygen + 2 H+ <=> Aureothin + 2 Oxidized ferredoxin + 2 H2O"
"R06947"	"C08579[c] + 2 C00138[c] + 2 C00080[c] + C00007[c] <=> C08614[c] + 2 C00139[c] + C00001[c]"	"zeaxanthin,NADH:oxygen oxidoreductase"	"Antheraxanthin + 2 Reduced ferredoxin + 2 H+ + Oxygen <=> Violaxanthin + 2 Oxidized ferredoxin + H2O"
"R07056"	"C01595[c] + C00007[c] + C00005[c] + C00080[c] <=> C14826[c] + C00006[c] + C00001[c]"	"X"	"Linoleate + Oxygen + NADPH + H+ <=> 12(13)-EpOME + NADP+ + H2O"
"R03987"	"C00053[c] + C02592[c] <=> C00054[c] + C03642[c]"	"3'-phosphoadenylylsulfate:taurolithocholate sulfotransferase"	"3'-Phosphoadenylyl sulfate + Taurolithocholate <=> Adenosine 3',5'-bisphosphate + Taurolithocholate sulfate"
"R07534"	"C15892[c] <=> C15898[c]"	"1-hydroxy-1,2-dihydrolycopene:acceptor oxidoreductase"	"Chloroxanthin <=> Demethylspheroidene"
"R10599"	"C00448[c] <=> C20724[c] + C00013[c]"	"(2E,6E)-farnesyl diphosphate lyase (cyclizing, (+)-thujopsene-forming)"	"trans,trans-Farnesyl diphosphate <=> (+)-Thujopsene + Diphosphate"
"R08005"	"C15525[c] + C00007[c] <=> C08577[c] + C00001[c]"	"2',3,4,4',6'-pentahydroxychalcone:oxygen oxidoreductase"	"Eriodictyol chalcone + Oxygen <=> Bracteatin + H2O"
"R01637"	"C00230[c] <=> C01424[c]"	"X"	"3,4-Dihydroxybenzoate <=> Gallate"
"R08673"	"C17225[c] + 2 C03024[c] + 2 C00007[c] <=> C17249[c] + 2 C03161[c] + C00011[c] + 3 C00001[c]"	"tetrahomomethionine,[NADPH---hemoprotein reductase]:oxygen oxidoreductase"	"Tetrahomomethionine + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> 7-Methylthioheptanaldoxime + 2 [Oxidized NADPH---hemoprotein reductase] + CO2 + 3 H2O"
"R07826"	"C00811[c] <=> C01197[c]"	"p-coumarate 3-hydroxylase"	"4-Coumarate <=> Caffeate"
"R00673"	"C00078[c] + C00001[c] <=> C00463[c] + C00022[c] + C00014[c]"	"L-tryptophan indole-lyase (deaminating; pyruvate-forming)"	"L-Tryptophan + H2O <=> Indole + Pyruvate + Ammonia"
"R04350"	"C04771[c] + C00001[c] <=> C03927[c] + C00022[c] + C00014[c]"	"(2S)-2-amino-3-[3-hydroxy-4-oxopyridin-1(4H)-yl]propanoate 3-hydroxy-4H-pyrid-4-one-lyase (2-aminoprop-2-enoate-forming)"	"L-Mimosine + H2O <=> 3-Hydroxy-4H-pyrid-4-one + Pyruvate + Ammonia"
"R01769"	"C00262[c] + C00007[c] + C00001[c] <=> C00385[c] + C00027[c]"	"hypoxanthine:oxygen oxidoreductase"	"Hypoxanthine + Oxygen + H2O <=> Xanthine + Hydrogen peroxide"
"R01942"	"C00019[c] + C00323[c] <=> C00021[c] + C00406[c]"	"S-adenosyl-L-methionine:caffeoyl-CoA 3-O-methyltransferase"	"S-Adenosyl-L-methionine + Caffeoyl-CoA <=> S-Adenosyl-L-homocysteine + Feruloyl-CoA"
"R10168"	"C00019[c] + C20411[c] <=> C00021[c] + C20412[c]"	"S-adenosyl-L-methionine:3-methyl-1,2-didehydro-2,3-dihydrosqualene C-methyltransferase"	"S-Adenosyl-L-methionine + 3-Methyl-1,2-didehydro-2,3-dihydrosqualene <=> S-Adenosyl-L-homocysteine + 3,22-Dimethyl-1,2,23,24-tetradehydro-2,3,22,23-tetrahydrosqualene"
"R11018"	"C00792[c] + C00028[c] + C00001[c] <=> C03771[c] + C00014[c] + C00030[c]"	"D-arginine:acceptor oxidoreductase (deaminating)"	"D-Arginine + Acceptor + H2O <=> 5-Guanidino-2-oxopentanoate + Ammonia + Reduced acceptor"
"R07994"	"C08650[c] <=> C08578[c]"	"X"	"Isoliquiritigenin <=> Butein"
"R07719"	"C16195[c] + C00083[c] <=> C16197[c] + C00010[c]"	"malonyl-CoA:isoflavone-7-O-beta-D-glucoside 6''-O-malonyltransferase"	"Glycitin + Malonyl-CoA <=> Malonylglycitin + CoA"
"R00385"	"C00040[c] + C00006[c] <=> C00605[c] + C00005[c] + C00080[c]"	"acyl-CoA:NADP+ 2-oxidoreductase"	"Acyl-CoA + NADP+ <=> 2,3-Dehydroacyl-CoA + NADPH + H+"
"R04047"	"C02778[c] + C00006[c] + C00001[c] <=> C03954[c] + C00005[c] + C00080[c]"	"NADPH:N-hydroxy-2-acetamidofluorene N-oxidoreductase"	"2-Acetamidofluorene + NADP+ + H2O <=> N-Hydroxy-2-acetamidofluorene + NADPH + H+"
"R10949"	"C00014[c] + C20969[c] <=> C01563[c] + C00009[c]"	"X"	"Ammonia + Carboxyphosphate <=> Carbamate + Orthophosphate"
"R06923"	"C14095[c] + C00001[c] <=> C14096[c] + C00022[c]"	"X"	"2-Hydroxy-3-carboxybenzalpyruvate + H2O <=> 3-Formylsalicylic acid + Pyruvate"
"R11023"	"C20994[c] + C00030[c] <=> C05570[c] + C00022[c] + C00014[c] + C00028[c]"	"S-(hercyn-2-yl)-L-cysteine-S-oxide ergothioneine-lyase (deaminating; pyruvate-forming)"	"S-(Hercyn-2-yl)-L-cysteine S-oxide + Reduced acceptor <=> Ergothioneine + Pyruvate + Ammonia + Acceptor"
"R01044"	"C00013[c] + C00116[c] <=> C00009[c] + C00623[c]"	"diphosphate:glycerol 1-phosphotransferase"	"Diphosphate + Glycerol <=> Orthophosphate + sn-Glycerol 1-phosphate"
"R05702"	"C02029[c] + C00006[c] <=> C00371[c] + C00005[c] + C00080[c]"	"dihydrozeatin:NADP oxidoreductase"	"Dihydrozeatin + NADP+ <=> Zeatin + NADPH + H+"
"R00367"	"C00019[c] + C00037[c] <=> C00021[c] + C00213[c]"	"S-adenosyl-L-methionine:glycine N-methyltransferase"	"S-Adenosyl-L-methionine + Glycine <=> S-Adenosyl-L-homocysteine + Sarcosine"
"R05497"	"C04596[c] <=> C06637[c] + C00698[c]"	"X"	"1,1-Dichloro-2,2-bis(4-chlorophenyl)ethylene <=> 1-Chloro-2,2-bis(4'-chlorophenyl)ethylene + Cl-"
"R09082"	"C18174[c] <=> C03375[c] + C00011[c]"	"carboxynorspermidine carboxy-lyase (norspermidine-forming)"	"Carboxynorspermidine <=> Norspermidine + CO2"
"R12986"	"C02205[c] <=> C22501[c]"	"alpha-D-xylopyranose aldose-ketose-isomerase"	"alpha-D-Xylose <=> alpha-D-Xylulofuranose"
"R12973"	"C00140[c] + C00007[c] <=> C22488[c] + C00027[c]"	"X"	"N-Acetyl-D-glucosamine + Oxygen <=> N-Acetyl-D-glucosamino-1,5-lactone + Hydrogen peroxide"
"R00088"	"C00002[c] + C00001[c] <=> C00081[c] + C00014[c]"	"ATP aminohydrolase"	"ATP + H2O <=> ITP + Ammonia"
"R09140"	"C00448[c] + C00001[c] <=> C18245[c] + C00013[c]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (8-epi-cedrol-forming)"	"trans,trans-Farnesyl diphosphate + H2O <=> 8-epi-Cedrol + Diphosphate"
"R01019"	"C00113[c] + C00084[c] + C00001[c] <=> C01359[c] + C00033[c]"	"acetaldehyde:pyrroloquinoline-quinone oxidoreductase"	"PQQ + Acetaldehyde + H2O <=> PQQH2 + Acetate"
"R02229"	"C00414[c] + C00004[c] + C00080[c] <=> C00854[c] + C00003[c]"	"cyclohexanol:NAD+ oxidoreductase"	"Cyclohexanone + NADH + H+ <=> Cyclohexanol + NAD+"
"R08564"	"C16735[c] <=> C16846[c]"	"X"	"Corynantheal <=> Cinchonidinone"
"R09966"	"C00341[c] <=> C20230[c] + C00013[c]"	"geranyl-diphosphate diphosphate-lyase [cyclizing, (+)-sabinene-forming]"	"Geranyl diphosphate <=> (+)-Sabinene + Diphosphate"
"R05563"	"C06555[c] + C00001[c] <=> C01010[c] + C00014[c]"	"biuret amidohydrolase"	"Biuret + H2O <=> Urea-1-carboxylate + Ammonia"
"R13086"	"C22553[c] <=> C00642[c] + C02183[c]"	"X"	"Maesopsin <=> 4-Hydroxyphenylacetate + Phloroglucinol"
"R00486"	"C02512[c] + 2 C00001[c] <=> C00049[c] + C00014[c]"	"3-cyano-L-alanine aminohydrolase"	"3-Cyano-L-alanine + 2 H2O <=> L-Aspartate + Ammonia"
"R11267"	"C20614[c] + C00007[c] <=> C21251[c] + C00027[c]"	"kanamycin-X:oxygen 6'-oxidoreductase"	"Kanamycin X + Oxygen <=> 6'-Oxokanamycin X + Hydrogen peroxide"
"R02904"	"C00778[c] <=> C02110[c]"	"X"	"Rhodopsin <=> 11-cis-Retinal"
"R08466"	"C08301[c] <=> C16719[c]"	"X"	"Cathinone <=> (-)-Norephedrine"
"R07123"	"C11150[c] <=> C11149[c]"	"X"	"Trichloroacetate <=> Dichloroacetate"
"R12485"	"C00002[c] + C22203[c] + C00010[c] <=> C00020[c] + C00013[c] + C22204[c]"	"isophthalate:CoA ligase (AMP-forming)"	"ATP + Isophthalate + CoA <=> AMP + Diphosphate + Isophthalyl-CoA"
"R04124"	"C03029[c] <=> C05780[c] + 2 C14818[c]"	"X"	"Transferrin[Fe(II)]2 <=> Apotransferrin + 2 Fe2+"
"R03225"	"C03197[c] + C00026[c] <=> C00164[c] + C01087[c]"	"(S)-3-hydroxybutanoate:2-oxoglutarate oxidoreductase"	"(S)-3-Hydroxybutanoate + 2-Oxoglutarate <=> Acetoacetate + (R)-2-Hydroxyglutarate"
"R02899"	"C00411[c] + C00818[c] <=> C00010[c] + C02866[c]"	"sinapoyl-CoA:D-glucarate O-sinapoyltransferase"	"Sinapoyl-CoA + D-Glucarate <=> CoA + O-Sinapoylglucarate"
"R13255"	"C00024[c] + 1 C00083[c] + 1 C00005[c] + 1 C00004[c] + 1 C00080[c] <=> C20876[c] + 1 C00010[c] + 1 C00011[c] + 1 C00006[c] + 1 C00003[c] + 1 C00001[c]"	"acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating, oxoacyl- and enoyl-reducing, NADH, very-long-chain acyl-CoA forming)"	"Acetyl-CoA + 1 Malonyl-CoA + 1 NADPH + 1 NADH + 1 H+ <=> Very-long-chain acyl-CoA + 1 CoA + 1 CO2 + 1 NADP+ + 1 NAD+ + 1 H2O"
"R10706"	"C19771[c] + C03688[c] <=> C00229[c] + C00013[c]"	"2'-(5-triphosphoribosyl)-3'-dephospho-CoA:apo-malonate-decarboxylase 2'-(5-phosphoribosyl)-3'-dephospho-CoA-transferase"	"2'-(5-Triphosphoribosyl)-3'-dephospho-CoA + Apo-[acyl-carrier protein] <=> Acyl-carrier protein + Diphosphate"
"R07150"	"C02097[c] + 2 C00006[c] + C00001[c] <=> C03034[c] + 2 C00005[c] + 2 C00080[c]"	"dTDP-D-galactose:NADP+ 6-oxidoreductase"	"dTDP-galactose + 2 NADP+ + H2O <=> dTDP-D-galacturonate + 2 NADPH + 2 H+"
"R11825"	"C00448[c] <=> C21676[c] + C00013[c]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase [cyclizing, (2S,3R,6S,9S)-(-)-protoillud-7-ene-forming]"	"trans,trans-Farnesyl diphosphate <=> (2S,3R,6S,9S)-(-)-Protoillud-7-ene + Diphosphate"
"R05870"	"C11783[c] + C00024[c] <=> C11784[c] + C00010[c]"	"X"	"Minovincinine + Acetyl-CoA <=> Echitovenine + CoA"
"R10461"	"C00979[c] + C07044[c] <=> C20639[c] + C00033[c]"	"O-acetyl-L-serine:hydroxyurea 2-amino-2-carboxyethyltransferase"	"O-Acetyl-L-serine + Hydroxyurea <=> O-Ureido-L-serine + Acetate"
"R11839"	"C00448[c] + C00001[c] <=> C21698[c] + C00013[c]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase [cyclizing, (2E,6E)-hedycaryol-forming]"	"trans,trans-Farnesyl diphosphate + H2O <=> (2E,6E)-Hedycaryol + Diphosphate"
"R04340"	"C03901[c] + C00006[c] <=> C04445[c] + C00005[c] + C00080[c]"	"thiomorpholine-3-carboxylate:NADP+ 5,6-oxidoreductase"	"Thiomorpholine 3-carboxylate + NADP+ <=> 3,4-Dehydrothiomorpholine-3-carboxylate + NADPH + H+"
"R06748"	"C12483[c] + C21097[c] <=> C12483[c] + C21097[c]"	"pyrrole-2-carbonyl-[peptidyl-carrier protein]:[peptidyl-carrier protein] (pyrrole-2-carbonyl)transferase"	"Pyrrole-2-carbonyl-[pcp] + Peptidyl-carrier protein <=> Pyrrole-2-carbonyl-[pcp] + Peptidyl-carrier protein"
"R11172"	"C04261[c] + C00185[c] <=> C00615[c] + C04534[c]"	"protein-Npi-phospho-L-histidine:cellobiose 6'-O-phosphotransferase"	"Protein N(pi)-phospho-L-histidine + Cellobiose <=> Protein histidine + 6-Phospho-beta-D-glucosyl-(1,4)-D-glucose"
"R10741"	"C17399[c] + C00026[c] + C00007[c] <=> C11755[c] + C00042[c] + C00011[c] + C00001[c]"	"epithienamycin-F,2-oxoglutarate:oxygen oxidoreductase (dehydrating)"	"Epithienamycin F + 2-Oxoglutarate + Oxygen <=> Epithienamycin E + Succinate + CO2 + H2O"
"R07804"	"C07721[c] <=> C07717[c] + 2 C00080[c]"	"X"	"(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene <=> 3,4-Dihydroxyfluorene + 2 H+"
"R09445"	"2 C00533[c] + C05819[c] <=> C00887[c] + C00828[c] + C00001[c]"	"nitrous-oxide:menaquinone oxidoreductase"	"2 Nitric oxide + Menaquinol <=> Nitrous oxide + Menaquinone + H2O"
"R02667"	"C00019[c] + C00632[c] <=> C00021[c] + C03986[c]"	"S-adenosyl-L-methionine:3-hydroxyanthranilate 4-C-methyltransferase"	"S-Adenosyl-L-methionine + 3-Hydroxyanthranilate <=> S-Adenosyl-L-homocysteine + 3-Hydroxy-4-methylanthranilate"
"R08734"	"C15613[c] <=> C17343[c]"	"3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA 25-epimerase"	"(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA <=> (25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA"
"R12835"	"C22437[c] <=> C08796[c]"	"X"	"11-Carbonyl-2beta,20beta-dihydroxycucurbitadienol <=> Cucurbitacin D"
"R01997"	"C00052[c] + C00338[c] <=> C00015[c] + C04473[c]"	"UDP-alpha-D-galactose:lipopolysaccharide 3-alpha-D-galactosyltransferase"	"UDP-alpha-D-galactose + Lipopolysaccharide <=> UDP + 3-alpha-D-Galactosyl-[lipopolysaccharide glucose]"
"R10252"	"C20464[c] + C00019[c] <=> C10428[c] + C00021[c]"	"S-adenosyl-L-methionine:trans-anol O-methyltransferase"	"Isochavicol + S-Adenosyl-L-methionine <=> Anethole + S-Adenosyl-L-homocysteine"
"R07392"	"C04582[c] <=> C15650[c] + C00001[c]"	"S-methyl-5-thio-D-ribulose-1-phosphate hydro-lyase"	"S-Methyl-5-thio-D-ribulose 1-phosphate <=> 2,3-Diketo-5-methylthiopentyl-1-phosphate + H2O"
"R10681"	"C02247[c] + C00132[c] <=> C00010[c] + C20634[c]"	"anthraniloyl-CoA:methanol O-anthraniloyltransferase"	"Anthraniloyl-CoA + Methanol <=> CoA + O-Methyl anthranilate"
"R11592"	"C03802[c] + C00058[c] <=> C00677[c] + C00011[c] + C00001[c]"	"ribonucleoside-5'-triphosphate:formate 2'-oxidoreductase"	"Ribonucleoside triphosphate + Formate <=> Deoxynucleoside triphosphate + CO2 + H2O"
"R08889"	"C06733[c] + C00007[c] <=> C06734[c] + C18011[c]"	"8'-apo-beta-carotenol:O2 oxidoreductase"	"8'-apo-beta-Carotenol + Oxygen <=> 14'-apo-beta-Carotenal + 7-Hydroxy-6-methylhepta-3,5-dienal"
"R05378"	"C06893[c] <=> C00222[c] + C00111[c]"	"2-deoxy-5-keto-D-gluconic acid 6-phosphate dihydroxyacetone phosphate-lyase"	"2-Deoxy-5-keto-D-gluconic acid 6-phosphate <=> 3-Oxopropanoate + Glycerone phosphate"
"R03479"	"C00002[c] + C04520[c] <=> C00008[c] + C01284[c]"	"ATP:1D-myo-inositol-3,4,5,6-tetrakisphosphate 1-phosphotransferase"	"ATP + 1D-myo-Inositol 3,4,5,6-tetrakisphosphate <=> ADP + 1D-myo-Inositol 1,3,4,5,6-pentakisphosphate"
"R08838"	"C00180[c] + C00005[c] + C00007[c] <=> C00805[c] + C00006[c] + C00001[c]"	"benzoate,NADPH:oxygen oxidoreductase (2-hydroxylating)"	"Benzoate + NADPH + Oxygen <=> Salicylate + NADP+ + H2O"
"R10665"	"C20768[c] + C00006[c] <=> C19823[c] + C00005[c] + C00080[c]"	"UDP-2-acetamido-2,6-dideoxy-L-talose:NADP+ oxidoreductase"	"UDP-2-acetamido-2,6-dideoxy-beta-L-talose + NADP+ <=> UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose + NADPH + H+"
"R07297"	"C02520[c] + C00001[c] <=> C00911[c] + C00009[c]"	"5'-ribonucleotide phosphohydrolase"	"5'-Ribonucleotide + H2O <=> Ribonucleoside + Orthophosphate"
"R12477"	"G00374 + C00001[c] <=> G00272 + C00159[c]"	"Man9GlcNAc2-[protein]2-alpha-mannohydrolase (configuration-inverting)"	"G00374 + H2O <=> G00272 + D-Mannose"
"R10186"	"C20422[c] + C00001[c] <=> C20423[c] + C00013[c]"	"alpha-D-ribose-1-methylphosphonate-5-triphosphate diphosphohydrolase"	"alpha-D-Ribose 1-methylphosphonate 5-triphosphate + H2O <=> alpha-D-Ribose 1-methylphosphonate 5-phosphate + Diphosphate"
"R07087"	"C14556[c] + C00005[c] + C00007[c] + C00080[c] <=> C14854[c] + C00006[c] + C00001[c]"	"9-hydroxybenzo[a]pyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)"	"9-Hydroxybenzo[a]pyrene + NADPH + Oxygen + H+ <=> 9-Hydroxybenzo[a]pyrene-4,5-oxide + NADP+ + H2O"
"R03132"	"C00979[c] + C00320[c] <=> C05824[c] + C00033[c]"	"O-acetyl-L-serine:thiosulfate 2-amino-2-carboxyethyltransferase"	"O-Acetyl-L-serine + Thiosulfate <=> S-Sulfo-L-cysteine + Acetate"
"R01282"	"C00154[c] + C00028[c] <=> C05272[c] + C00030[c]"	"X"	"Palmitoyl-CoA + Acceptor <=> trans-Hexadec-2-enoyl-CoA + Reduced acceptor"
"R01319"	"C00040[c] + C04233[c] <=> C00010[c] + C00157[c]"	"acyl-CoA:2-acyl-sn-glycero-3-phosphocholine O-acyltransferase"	"Acyl-CoA + 2-Acyl-sn-glycero-3-phosphocholine <=> CoA + Phosphatidylcholine"
"R01331"	"G10542 + C00001[c] <=> C00159[c] + G10542"	"(1->2)-(1->3)-alpha-D-mannan mannohydrolase;"	"G10542 + H2O <=> D-Mannose + G10542"
"R00923"	"C00683[c] <=> C00100[c] + C00011[c]"	"(S)-methylmalonyl-CoA carboxy-lyase (propanoyl-CoA-forming)"	"(S)-Methylmalonyl-CoA <=> Propanoyl-CoA + CO2"
"R01490"	"C00193[c] + C00020[c] + C00013[c] + C00006[c] <=> C00539[c] + C00005[c] + C00002[c] + C00080[c]"	"aromatic aldehyde:NADP+ oxidoreductase (ATP-forming)"	"Aromatic aldehyde + AMP + Diphosphate + NADP+ <=> Aromatic acid + NADPH + ATP + H+"
"R01414"	"C00906[c] + C00003[c] <=> C00178[c] + C00004[c] + C00080[c]"	"5,6-dihydrothymine:NAD+ oxidoreductase"	"5,6-Dihydrothymine + NAD+ <=> Thymine + NADH + H+"
"R09595"	"C00133[c] + C00740[c] + C00002[c] <=> C19719[c] + C00008[c] + C00009[c]"	"D-alanine:D-serine ligase (ADP-forming)"	"D-Alanine + D-Serine + ATP <=> D-Alanyl-D-serine + ADP + Orthophosphate"
"R02944"	"C01765[c] + C00003[c] <=> C00808[c] + C00004[c] + C00080[c]"	"(+)-borneol:NAD+ oxidoreductase"	"(+)-Borneol + NAD+ <=> (+)-Camphor + NADH + H+"
"R01654"	"C00002[c] + C00234[c] + C00025[c] <=> C00008[c] + C00009[c] + C05928[c]"	"10-formyltetrahydrofolate:L-glutamate ligase (ADP-forming)"	"ATP + 10-Formyltetrahydrofolate + L-Glutamate <=> ADP + Orthophosphate + (6R)-10-Formyltetrahydropteroyldiglutamate"
"R08317"	"C06868[c] <=> C16601[c]"	"X"	"Carbamazepine <=> 2-Hydroxycarbamazepine"
"R10715"	"C00424[c] + C00003[c] <=> C00546[c] + C00004[c] + C00080[c]"	"X"	"(S)-Lactaldehyde + NAD+ <=> Methylglyoxal + NADH + H+"
"R00616"	"C00002[c] + C00068[c] <=> C00008[c] + C03028[c]"	"ATP:thiamine-diphosphate phosphotransferase"	"ATP + Thiamin diphosphate <=> ADP + Thiamin triphosphate"
