bigg_id,name,reaction_string,kegg_reactions
BILIRED2,Nadh biliverdin reductase,biliverd_c + h_c + nadh_c <-> bilirub_c + nad_c,R02391
CHOLESTle,Hydrolysis of cholesterol ester by cholesterol esterase,h2o_e + xolest2_cho_e <-> Rtotal_e + chsterol_e + h_e,R01462
DADNKn,"Deoxyadenosine kinase, nuclear",atp_n + dad_2_n <-> adp_n + damp_n + h_n,R02089
DCTPDPm,"DCTP diphosphatase, mitochondrial",dctp_m + h2o_m <-> dcmp_m + h_m + ppi_m,R01668
DCTPDPn,"DCTP diphosphatase, nuclear",dctp_n + h2o_n <-> dcmp_n + h_n + ppi_n,R01668
DHDDH,Dihydrodiol dehydrogenase,dhnpthld_c + nadp_c <-> nadph_c + npthld_c,R07015
DTMPKm,DTMP kinase in mitochondria,atp_m + dtmp_m <-> adp_m + dtdp_m,R02094
DTTPDPn,"DTTP diphosphatase, nuclear",dttp_n + h2o_n <-> dtmp_n + h_n + ppi_n,R11323
FEROc,Ferroxidase,4.0 fe2_c + 4.0 h_c + o2_c <-> 4.0 fe3_c + 2.0 h2o_c,R00078
FUMAH,Fumarylpyruvate hydrolase,fumpyr_c + h2o_c <-> fum_c + h_c + pyr_c,R01085
FUT14g_cho,Galactoside 2-alpha-L-fucosyltransferase 1,gal14acglcgalgluside_cho_g + gdpfuc_g <-> fuc12gal14acglcgalgluside_cho_g + gdp_g + h_g,R06024
FUT31g_cho,"Fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included) 1",galacglcgalgluside_cho_g + gdpfuc_g <-> fuc14galacglcgalgluside_cho_g + gdp_g + h_g,R06155
FUT91g_cho,"Alpha-(1,3)-fucosyltransferase",gal14acglcgalgluside_cho_g + gdpfuc_g <-> fucgal14acglcgalgluside_cho_g + gdp_g + h_g,R06025
FUT92g_cho,"Alpha-(1,3)-fucosyltransferase",acngal14acglcgalgluside_cho_g + gdpfuc_g <-> fucacngal14acglcgalgluside_cho_g + gdp_g + h_g,R06075
FUT93g_cho,"Alpha-(1,3)-fucosyltransferase",fuc12gal14acglcgalgluside_cho_g + gdpfuc_g <-> fucfuc12gal14acglcgalgluside_cho_g + gdp_g + h_g,R06095
GAL3ST12_cho,Galactosylceramide sulfotransferase,digalside_cho_g + paps_g <-> digalsgalside_cho_g + h_g + pap_g,R05105; R06122
GBAl_cho,Glucosylceramidase,gluside_cho_l + h2o_l <-> crm_cho_l + glc__D_l,R01498
GLCNACT_cho,UDP-GlcNAc:N-acetyl-D-glucosaminyl diphosphodolichol N-acetyl-D-glucosaminyltransferase,naglc2p_c + uacgam_c <-> chito2pdol_c + h_c + udp_c,R04494; R05970
GULOer,"Gulonolactone oxidase, endoplasmic reticulum",gullac_r + o2_r <-> ascb__L_r + h2o2_r + h_r,R10053
HCO3Ee,"HCO3 equilibration reaction, extracellular",co2_e + h2o_e <-> h_e + hco3_e,R00132; R10092
ILEOX,L-Isoleucine oxidase,h2o_c + ile__L_c + o2_c <-> 3mop_c + h2o2_c + nh4_c,R02197
METOX,L-Methionine oxidase,h2o_c + met__L_c + o2_c <-> 2kmb_c + h2o2_c + nh4_c,R00648
MINOHPKn,"Inositol hexakisphosphate kinase, nuclear",atp_n + minohp_n <-> adp_n + ppmi12346p_n,R09087
NMNSn,"NMN synthetase, nuclear",h_n + ncam_n + prpp_n <-> nmn_n + ppi_n,R01271
PHACCOAGLYACm,Glycine N-phenylacetyltransferase,gly_m + phaccoa_m <-> coa_m + h_m + pheacgly_m,R05841
PI34P3P,"Phosphatidylinositol-3,4-bisphosphate 3-phosphatase",h2o_c + pail34p_cho_c <-> pail4p_cho_c + pi_c,R06875
PI34P4Pn_cho,"Phosphatidylinositol-3,4-bisphosphate 4-phosphatase, nuclear",h2o_n + pail34p_cho_n <-> pail3p_cho_n + pi_n,R07299
PI3P3Pn_cho,"Phosphatidylinositol-3-phosphate 3-phosphatase, nuclear",h2o_n + pail3p_cho_n <-> pail_cho_n + pi_n,R03363
PI45P3K_cho,"Phosphatidylinositol 4,5-bisphosphate 3-kinase",atp_c + pail45p_cho_c <-> adp_c + h_c + pail345p_cho_c,R04545
PI45P4P_cho,"Phosphatidylinositol-4,5-bisphosphate 4-phosphatase",h2o_c + pail45p_cho_c <-> pail5p_cho_c + pi_c,R08981
PI4P3K_cho,Phosphatidylinositol 4-phosphate 3-kinase,atp_c + pail4p_cho_c <-> adp_c + h_c + pail34p_cho_c,R05795
PI4P3Kn_cho,"Phosphatidylinositol 4-phosphate 3-kinase, nuclear",atp_n + pail4p_cho_n <-> adp_n + h_n + pail34p_cho_n,R05795
PI4P5K_cho,Phosphatidylinositol 4-phosphate 5-kinase,atp_c + pail4p_cho_c <-> adp_c + h_c + pail45p_cho_c,R03469
PI5P4Kn_cho,"Phosphatidylinositol-5-phosphate 4-kinase, nuclear",atp_n + pail5p_cho_n <-> adp_n + h_n + pail45p_cho_n,R05803
PIK3_cho,Phosphatidylinositol 3-kinase,atp_c + pail_cho_c <-> adp_c + h_c + pail3p_cho_c,R03362
PIK3n_cho,"Phosphatidylinositol 3-kinase, nuclear",atp_n + pail_cho_n <-> adp_n + h_n + pail3p_cho_n,R03362
PIK4n_cho,"Phosphatidylinositol 4-kinase, nuclear",atp_n + pail_cho_n <-> adp_n + h_n + pail4p_cho_n,R03361
PIK5n_cho,"Phosphatidylinositol 5-kinase, nuclear",atp_n + pail_cho_n <-> adp_n + h_n + pail5p_cho_n,R10951
PSSA1_cho,Phosphatidylserine synthase cho,pchol_cho_c + ser__L_c <-> chol_c + ps_cho_c,R07377
PTPATe,"Phosphopantetheine Adenylyltransferase, Extracellular",atp_e + h_e + pan4p_e <-> dpcoa_e + ppi_e,R03035
RE0066C,RE0066,C01241_c + amet_c <-> C04308_c + ahcys_c + 2.0 h_c,R03424
RE0344M,RE0344,h2o_m + stcoa_m <-> coa_m + h_m + ocdca_m,R08174
RE0580R,RE0580,h_r + malcoa_r + pmtcoa_r <-> 3ohodcoa_r + co2_r + coa_r,R07758
RE0581R,RE0581,3ohodcoa_r + h_r + nadph_r <-> CE2248_r + nadp_r,R07759
RE0583N,RE0583,h_n + nadph_n + od2coa_n <-> nadp_n + stcoa_n,R07761
RE0691C,RE0691,4abutn_c <-> CE1944_c + h2o_c,R07408
RE1441G,RE1441,atp_g + pail_cho_g <-> adp_g + h_g + pail5p_cho_g,R10951
RE1441R,RE1441,atp_r + pail_cho_r <-> adp_r + h_r + pail5p_cho_r,R10951
RE1447M,RE1447,h2o_m + pail45p_cho_m <-> pail5p_cho_m + pi_m,R08981
RE1447N,RE1447,h2o_n + pail45p_cho_n <-> pail5p_cho_n + pi_n,R08981
RE1537C,N1-acetylspermidine oxidase,N1aspmd_c + h2o_c + o2_c <-> 3aap_c + h2o2_c + ptrc_c,R09074
RE1537X,RE1537,N1aspmd_x + h2o_x + o2_x <-> 3aap_x + h2o2_x + ptrc_x,R09074
RE1539C,N1-acetylspermine oxidase,N1sprm_c + h2o_c + o2_c <-> 3aap_c + h2o2_c + spmd_c,R03899
RE1539X,RE1539,N1sprm_x + h2o_x + o2_x <-> 3aap_x + h2o2_x + spmd_x,R03899
RE1630R,RE1630,C05298_r + amet_r <-> C05299_r + ahcys_r + h_r,R04762
RE1835C,Palmitoyl Coenzyme A Hydrolase,dcholcoa_c + h2o_c <-> C02528_c + coa_c + h_c,R03974
RE1835M,RE1835,dcholcoa_m + h2o_m <-> C02528_m + coa_m + h_m,R03974
RE1845C,Bile Acid-CoA:Amino Acid N-Acyltransferase,dcholcoa_c + taur_c <-> coa_c + tdchola_c,R08745
RE1860E,"2',3'-Cyclic-Nucleotide 3'-Phosphodiesterase",23cump_e + h2o_e <-> 3ump_e + h_e,R03538
RE2034C,Alanine Transaminase,C02356_c + akg_c <-> 2obut_c + glu__L_c,R10991
RE2124C,RE2124,amet_c + tym_c <-> C02442_c + ahcys_c + h_c,R02384
RE2133C,RE2133,amet_c + ind3ac_c <-> CE2122_c + ahcys_c,R10452
RE2235C,Unspecific Monooxygenase,estrone_c + h_c + nadph_c + o2_c <-> C05300_c + h2o_c + nadp_c,R02356
RE2235R,Unspecific Monooxygenase,estrone_r + h_r + nadph_r + o2_r <-> C05300_r + h2o_r + nadp_r,R02356
RE2386C,Catechol O-Methyltransferase,C05301_c + amet_c <-> C05302_c + ahcys_c + h_c,R04764
RE2972R,RE2972,atp_r + pail5p_cho_r <-> adp_r + h_r + pail45p_cho_r,R05803
RE2974G,RE2974,atp_g + pail3p_cho_g <-> adp_g + h_g + pail35p_cho_g,R05802
RE2974R,RE2974,atp_r + pail3p_cho_r <-> adp_r + h_r + pail35p_cho_r,R05802
RE3013R,RE3013,estradiol_r + h_r + nadph_r + o2_r <-> C05301_r + h2o_r + nadp_r,R03090
RE3511C,RE3511,C04308_c + amet_c <-> ahcys_c + pchol_cho_c,R01320
RE3511R,RE3511,C04308_r + amet_r <-> ahcys_r + pchol_cho_r,R01320
RE3566C,RE3566,HC02203_c <-> HC02207_c,R05056
SADTn,"Sulfate adenylyltransferase, nuclear",atp_n + h_n + so4_n <-> aps_n + ppi_n,R00529
SELNPS_cho,Selenophosphate synthase,atp_c + h2o_c + seln_c <-> amp_c + 2.0 h_c + pi_c + selnp_c,R03595
SERR,Serine racemase,ser__L_c <-> ser__D_c,R00589
ST3GAL23g_cho,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase, Golgi apparatus",cmpacna_g + gd1b_cho_g <-> cmp_g + gt1b_cho_g + h_g,R05116; R05949
ST3GAL61g_cho,"Type 2 lactosamine alpha-2,3-sialyltransferase",cmpacna_g + gal14acglcgalgluside_cho_g <-> acngal14acglcgalgluside_cho_g + cmp_g + h_g,R04656; R06026
ST8SIA56g_cho,"Alpha-2,8-sialyltransferase 8E",acngal14acglcgalgluside_cho_g + cmpacna_g <-> acnacngal14acglcgalgluside_cho_g + cmp_g + h_g,R06032
TRPOX,L-Tryptophan oxidase,h2o_c + o2_c + trp__L_c <-> h2o2_c + indpyr_c + nh4_c,R00677
UGCG_cho,Ceramide glucosyltransferase,crm_cho_r + udpg_r <-> gluside_cho_r + h_r + udp_r,R01497; R06275
XAO2,Xanthine oxidase (hypoxanthine),h2o_c + hxan_c + o2_c <-> h2o2_c + xan_c,R01769
XYLOR,D-xylose:NADP+ 1-oxidoreductase,nadp_c + xyl__D_c <-> h_c + nadph_c + xylnact__D_c,R01430
r0013,Beta-N-acetylhexosaminidase Aminosugars metabolism EC:3.2.1.52,HC00822_l + h2o_l <-> 2.0 acgam_l,R00022; R06141
r0016,Fe(II):oxygen oxidoreductase Porphyrin and chlorophyll metabolism EC:1.16.3.1,4.0 fe2_e + 4.0 h_e + o2_e <-> 4.0 fe3_e + 2.0 h2o_e,R00078
r0068,Acetyl adenylate:CoA ligase (AMP-forming) Pyruvate metabolism EC:6.2.1.1,HC01672_c + coa_c <-> accoa_c + amp_c + h_c,R00236
r0074,L-Glutamate 5-semialdehyde:NAD+ oxidoreductase Arginine and proline metabolism EC:1.5.1.12,glu5sa_m + h2o_m + nad_m <-> glu__L_m + 2.0 h_m + nadh_m,R00245
r0082,Oxalosuccinate:NADP+ oxidoreductase (decarboxylating) Citrate cycle (TCA cycle) EC:1.1.1.42,HC01434_c + h_c <-> akg_c + co2_c,R00268
r0083,Oxalosuccinate:NADP+ oxidoreductase (decarboxylating) Citrate cycle (TCA cycle) EC:1.1.1.42,HC01434_m + h_m <-> akg_m + co2_m,R00268
r0085,2-Oxoglutaramate amidohydrolase Glutamate metabolism EC:3.5.1.3,HC00591_c + h2o_c <-> akg_c + nh4_c,R00269
r0086,2-Oxoglutaramate amidohydrolase Glutamate metabolism EC:3.5.1.3,HC00591_m + h2o_m <-> akg_m + nh4_m,R00269
r0139,CDP diphosphohydrolase Pyrimidine metabolism EC:3.6.1.5,cdp_e + h2o_e <-> cmp_e + h_e + pi_e,R00514
r0163,2-oxoglutarate dehydrogenase E1 component Citrate cycle (TCA cycle) EC:1.2.4.2,akg_m + h_m + thmpp_m <-> HC01435_m + co2_m,R00621
r0166,Uridine triphosphate pyrophosphohydrolase Pyrimidine metabolism EC:3.6.1.19,h2o_e + utp_e <-> h_e + ppi_e + ump_e,R00662
r0173,(S)-Lactate:NAD+ oxidoreductase Glycolysis / Gluconeogenesis / Pyruvate metabolism EC:1.1.1.27,lac__L_x + nad_x <-> h_x + nadh_x + pyr_x,R00703
r0331,"5,6-Dihydrothymine:NAD+ oxidoreductase Pyrimidine metabolism EC:1.3.1.1",h_m + nadh_m + thym_m <-> 56dthm_m + nad_m,R01414
r0354,Glycolysis / Glyconeogenesis EC:2.7.1.1,glc__D_c + itp_c <-> g6p_c + h_c + idp_c,R00725
r0393,D-Glyceraldehyde:NAD+ oxidoreductase Glycerolipid metabolism EC:1.2.1.3,glyald_m + h2o_m + nad_m <-> glyc__R_m + 2.0 h_m + nadh_m,R01752
r0402,Tetrahydrobiopterin:NADP+ oxidoreductase Folate biosynthesis EC:1.1.1.153,HC01254_c + h_c + nadph_c <-> nadp_c + thbpt_c,R01813
r0423,Isocitrate:NADP+ oxidoreductase (decarboxylating) Citrate cycle (TCA cycle) EC:1.1.1.42,icit_m + nadp_m <-> HC01434_m + h_m + nadph_m,R01899
r0424,Isocitrate:NADP+ oxidoreductase (decarboxylating) Citrate cycle (TCA cycle) EC:1.1.1.42,icit_x + nadp_x <-> HC01434_x + h_x + nadph_x,R01899
r0450,L-2-Aminoadipate:2-oxoglutarate aminotransferase Lysine biosynthesis / Lysine degradation EC:2.6.1.39,L2aadp_m + akg_m <-> 2oxoadp_m + glu__L_m,R01939
r0466,Alpha-Aminobutyryl histidine hydrolase Urea cycle and metabolism of amino groups EC:3.4.13.3,HC00576_c + h2o_c <-> 4abut_c + his__L_c,R01992
r0525,"N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase; N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase (L-glutamate-forming) Lysine degradation EC:1.5.1.9",h2o_m + nad_m + saccrp__L_m <-> L2aadp6sa_m + glu__L_m + h_m + nadh_m,R02313
r0548,Aldehyde:NADP+ oxidoreductase Phenylalanine metabolism EC:1.2.1.5,h2o_m + nadp_m + pacald_m <-> 2.0 h_m + nadph_m + pac_m,R02537
r0558,Gentisate aldehyde:NAD+ oxidoreductase Tyrosine metabolism EC:1.2.1.29,HC01522_c + h2o_c + nad_c <-> HC00460_c + 2.0 h_c + nadh_c,R02655
r0559,Aldehyde oxidase Tyrosine metabolism EC:1.2.3.1,HC01522_c + h2o_c + o2_c <-> HC00460_c + h2o2_c + h_c,R02657
r0571,(S)-Methylmalonyl-CoA hydrolase Propanoate metabolism EC:3.1.2.17,h2o_m + mmcoa__S_m <-> HC00900_m + coa_m + h_m,R02764
r0580,N-((R)-Pantothenoyl)-L-cysteine carboxy-lyase Pantothenate and CoA biosynthesis EC:4.1.1.30,HC01231_c + h_c <-> co2_c + ptth_c,R02972
r0596,3-hydroxyisobutyryl-Coenzyme A hydrolase (mitochondrial),3hpcoa_m + h2o_m <-> 3hpp_m + coa_m + h_m,R03158
r0614,N-[(R)-4-Phosphopantothenoyl]-L-cysteine carboxy-lyase Pantothenate and CoA biosynthesis EC:4.1.1.36,4ppcys_m + h_m <-> co2_m + pan4p_m,R03269
r0648,(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase Cyanoamino acid metabolism EC:2.3.2.2,HC00955_e + glu__L_e + h_e <-> HC01577_e + h2o_e,R03970
r0650,Chenodeoxycholate:CoA ligase (AMP-forming) Bile acid biosynthesis EC:6.2.1.7,C02528_r + atp_r + coa_r <-> amp_r + dcholcoa_r + ppi_r,R08743
r0651,Chenodeoxycholate:CoA ligase (AMP-forming) Bile acid biosynthesis EC:6.2.1.7,C02528_c + atp_c + coa_c <-> amp_c + dcholcoa_c + ppi_c,R08743
r0679,ATP:pantothenate 4-phosphotransferase Pantothenate and CoA biosynthesis EC:2.7.1.33,HC01231_c + atp_c <-> 4ppcys_c + adp_c + h_c,R04391
r0680,ATP:pantothenate 4-phosphotransferase Pantothenate and CoA biosynthesis EC:2.7.1.33,HC01231_m + atp_m <-> 4ppcys_m + adp_m + h_m,R04391
r0686,L-1-Pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase Arginine and proline metabolism EC:1.5.1.12,1p3h5c_m + 2.0 h2o_m + nadp_m <-> e4hglu_m + h_m + nadph_m,R04445
r0707,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate phosphohydrolase (alkaline optimum) Folate biosynthesis EC:3.1.3.1",ahdt_e + 3.0 h2o_e <-> HC01361_e + 2.0 h_e + 3.0 pi_e,R04620
r0775,"Formamidopyrimidine nucleoside triphosphate 7,8-8,9-dihydrolase Folate biosynthesis EC:3.5.4.16",HC01651_c + h2o_c <-> HC01652_c + for_c + 5.0 h_c,R05046
r0777,"GTP 7,8-8,9-dihydrolase Folate biosynthesis EC:3.5.4.16",HC01652_c + 4.0 h_c <-> HC01710_c,R05048
r0784,Xylitol:NAD oxidoreductase Pentose and glucuronate interconversions EC:1.1.1.15,nad_c + xylt_c <-> h_c + nadh_c + xylu__L_c,R05831
r0788,S-Adenosyl-L-methionine:methylethanolamine phosphate N-methyltransferase Glycerophospholipid metabolism EC:2.1.1.103,HC00718_c + amet_c <-> HC01842_c + ahcys_c + 2.0 h_c,R06868
r1109,Citrate oxaloacetate-lyase ((pro-3S)-CH2COO- -->acetate) Citrate cycle (TCA cycle) EC:4.1.3.6,cit_m <-> ac_m + oaa_m,R00362
r1380,Delta24-sterol reductase Biosynthesis of steroids EC:1.3.1.72,h_r + nadph_r + zymst_r <-> nadp_r + zymstnl_r,R07498
r1384,Guanosine aminohydrolase EC:3.5.4.15,gsn_c + h2o_c + h_c <-> nh4_c + xtsn_c,R02145
HEMEAS_1,Heme A synthase,h2o_c + hemeO_c + 2.0 nad_c <-> 2.0 h_c + hemeA_c + 2.0 nadh_c,R07412
23PDE4pp,"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)",23ccmp_p + h2o_p <-> 3cmp_p + h_p,R03929
23PDE7pp,"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)",23camp_p + h2o_p <-> 3amp_p + h_p,R03537
3AMACHYD,3-aminoacrylate hydrolase,3amac_c + h_c + h2o_c <-> msa_c + nh4_c,R09983
3HAD100,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0),3hdecACP_c <-> h2o_c + tdec2eACP_c,R04535
3HAD120,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0),3hddecACP_c <-> h2o_c + tddec2eACP_c,R04965
3HAD140,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),3hmrsACP_c <-> h2o_c + tmrs2eACP_c,R04568
3HAD60,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0),3hhexACP_c <-> h2o_c + thex2eACP_c,R04954
3HCINNMH,3-hydroxycinnamate hydroxylase,3hcinnm_c + h_c + nadh_c + o2_c <-> dhcinnm_c + h2o_c + nad_c,R06787
3HPPPNH,3-(3-hydroxy-phenyl)propionate hydroxylase,3hpppn_c + h_c + nadh_c + o2_c <-> dhpppn_c + h2o_c + nad_c,R06786
3NTD4pp,3'-nucleotidase (CMP) (periplasm),3cmp_p + h2o_p <-> cytd_p + pi_p,R02370
3NTD7pp,3'-nucleotidase (AMP) (periplasm),3amp_p + h2o_p <-> adn_p + pi_p,R01562
3OAR100,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0),3odecACP_c + h_c + nadph_c <-> 3hdecACP_c + nadp_c,R04534
3OAR140,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),3omrsACP_c + h_c + nadph_c <-> 3hmrsACP_c + nadp_c,R04566
3OAR60,3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0),3ohexACP_c + h_c + nadph_c <-> 3hhexACP_c + nadp_c,R04953
3OAR80,3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0),3ooctACP_c + h_c + nadph_c <-> 3hoctACP_c + nadp_c,R04536
3OXCOAT,3-oxoadipyl-CoA thiolase,coa_c + oxadpcoa_c <-> accoa_c + succoa_c,R00829
42A12BOOXpp,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",dopa_p + h2o_p + o2_p <-> 34dhpac_p + h2o2_p + nh4_p,R04300
5DGLCNR,5-dehydro-D-gluconate reductase,5dglcn_c + h_c + nadph_c <-> glcn_c + nadp_c,R01740
AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),aact_c + h2o_c + o2_c <-> h2o2_c + mthgxl_c + nh4_c,R02529
ABUTD,Aminobutyraldehyde dehydrogenase,4abutn_c + h2o_c + nad_c <-> 4abut_c + 2.0 h_c + nadh_c,R02549
ACACCT,Acetyl-CoA:acetoacetyl-CoA transferase,acac_c + accoa_c <-> aacoa_c + ac_c,R01359
ACACT1r,Acetyl-CoA C-acetyltransferase,2.0 accoa_c <-> aacoa_c + coa_c,R00238
ACACT6r,Acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r),accoa_c + ddcacoa_c <-> 3otdcoa_c + coa_c,R03858
ACACT7r,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),accoa_c + tdcoa_c <-> 3ohdcoa_c + coa_c,R03991
ACALD,Acetaldehyde dehydrogenase (acetylating),acald_c + coa_c + nad_c <-> accoa_c + h_c + nadh_c,R00228
ACCOAC,Acetyl-CoA carboxylase,accoa_c + atp_c + hco3_c <-> adp_c + h_c + malcoa_c + pi_c,R00742
ACGAMK,N-acetylglucosamine kinase,acgam_c + atp_c <-> acgam6p_c + adp_c + h_c,R01201
ACGK,Acetylglutamate kinase,acglu_c + atp_c <-> acg5p_c + adp_c,R02649
ACHBS,2-aceto-2-hydroxybutanoate synthase,2obut_c + h_c + pyr_c <-> 2ahbut_c + co2_c,R08648
ACKr,Acetate kinase,ac_c + atp_c <-> actp_c + adp_c,R00315
ACM6PH,N-acetylmuramate 6-phosphate hydrolase,acmum6p_c + h2o_c <-> acgam6p_c + lac__D_c,R08555
ACOAD3f,Acyl-CoA dehydrogenase (octanoyl-CoA),fad_c + occoa_c <-> fadh2_c + oc2coa_c,R03777
ACOAD6f,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),fad_c + tdcoa_c <-> fadh2_c + td2coa_c,R03990
ACONTa,"Aconitase (half-reaction A, Citrate hydro-lyase)",cit_c <-> acon_C_c + h2o_c,R01325
ACONTb,"Aconitase (half-reaction B, Isocitrate hydro-lyase)",acon_C_c + h2o_c <-> icit_c,R01900
ACS,Acetyl-CoA synthetase,ac_c + atp_c + coa_c <-> accoa_c + amp_c + ppi_c,R00235
ADA,Adenosine deaminase,adn_c + h_c + h2o_c <-> ins_c + nh4_c,R01560
ADK1,Adenylate kinase,amp_c + atp_c <-> 2.0 adp_c,R00127
ADMDC,Adenosylmethionine decarboxylase,amet_c + h_c <-> ametam_c + co2_c,R00178
ADOCBIK,Adenosyl cobinamide kinase,adocbi_c + atp_c <-> adocbip_c + adp_c + h_c,R05221
ADSL1r,Adenylsuccinate lyase,dcamp_c <-> amp_c + fum_c,R01083
ADSL2r,Adenylosuccinate lyase,25aics_c <-> aicar_c + fum_c,R04559
AGDC,N-acetylglucosamine-6-phosphate deacetylase,acgam6p_c + h2o_c <-> ac_c + gam6p_c,R02059
AGMHE,ADP-D-glycero-D-manno-heptose epimerase,adphep_DD_c <-> adphep_LD_c,R05176
AGPR,N-acetyl-g-glutamyl-phosphate reductase,acg5sa_c + nadp_c + pi_c <-> acg5p_c + h_c + nadph_c,R03443
AHCYSNS,S-adenosylhomocysteine nucleosidase,ahcys_c + h2o_c <-> ade_c + rhcys_c,R00194
AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,10fthf_c + aicar_c <-> fprica_c + thf_c,R04560
AIRC3,Phosphoribosylaminoimidazole carboxylase (mutase rxn),5aizc_c <-> 5caiz_c,R07405
AKGDH,2-Oxogluterate dehydrogenase,akg_c + coa_c + nad_c <-> co2_c + nadh_c + succoa_c,R08549
ALAALAD,D-alanine-D-alanine dipeptidase,alaala_c + h2o_c <-> 2.0 ala__D_c,R07651
ALAGLUE,L-alanyl-gamma-glutamate epimerase,LalaDglu_c <-> LalaLglu_c,R10938
ALAR,Alanine racemase,ala__L_c <-> ala__D_c,R00401
ALCD19,Alcohol dehydrogenase (glycerol),glyald_c + h_c + nadh_c <-> glyc_c + nad_c,R01036
ALDD19xr,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)",h2o_c + nad_c + pacald_c <-> 2.0 h_c + nadh_c + pac_c,R02536
ALDD2x,"Aldehyde dehydrogenase (acetaldehyde, NAD)",acald_c + h2o_c + nad_c <-> ac_c + 2.0 h_c + nadh_c,R00710
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",acald_c + h2o_c + nadp_c <-> ac_c + 2.0 h_c + nadph_c,R00711
ALLPI,Allose 6-phosphate isomerase,all6p_c <-> allul6p_c,R09030
ALLULPE,Allulose 6-phosphate epimerase,allul6p_c <-> f6p_c,R09031
ALR2,Aldose reductase (methylglyoxal),h_c + mthgxl_c + nadph_c <-> acetol_c + nadp_c,R02528
AMPTASECG,Alanyl aminopeptidase (cys-gly),cgly_c + h2o_c <-> cys__L_c + gly_c,R00899
ANS,Anthranilate synthase,chor_c + gln__L_c <-> anth_c + glu__L_c + h_c + pyr_c,R00986
AOBUTDs,L-2-amino-3-oxobutanoate decarboxylation (spontaneous),2aobut_c + h_c <-> aact_c + co2_c,R03758
AOXSr2,8-amino-7-oxononanoate synthase,ala__L_c + pimACP_c <-> 8aonn_c + ACP_c + co2_c,R10124
AP4AH,Ap4A hydrolase,ap4a_c + h2o_c <-> 2.0 adp_c + 2.0 h_c,R00125
APCS,Aminopropylcadaverine synthase,15dap_c + ametam_c <-> 5mta_c + h_c + na15dap_c,R08359
APPLDHr,Aminopropanol dehydrogenase reversible,aact_c + h_c + nadh_c <-> appl_c + nad_c,R03759
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,5apru_c + h_c + nadph_c <-> 5aprbu_c + nadp_c,R03458
ARGSL,Argininosuccinate lyase,argsuc_c <-> arg__L_c + fum_c,R01086
ASNNpp,L-asparaginase,asn__L_p + h2o_p <-> asp__L_p + nh4_p,R00485
ASNS1,Asparagine synthase (glutamine-hydrolysing),asp__L_c + atp_c + gln__L_c + h2o_c <-> amp_c + asn__L_c + glu__L_c + h_c + ppi_c,R00578
ASNTRS,Asparaginyl-tRNA synthetase,asn__L_c + atp_c + trnaasn_c <-> amp_c + asntrna_c + ppi_c,R03648
ASP1DC,Aspartate 1-decarboxylase,asp__L_c + h_c <-> ala_B_c + co2_c,R00489
ASPCT,Aspartate carbamoyltransferase,asp__L_c + cbp_c <-> cbasp_c + h_c + pi_c,R01397
ASPK,Aspartate kinase,asp__L_c + atp_c <-> 4pasp_c + adp_c,R00480
ASPO6,L-aspartate oxidase,asp__L_c + o2_c <-> h_c + h2o2_c + iasp_c,R00481
ATPPRT,ATP phosphoribosyltransferase,atp_c + prpp_c <-> ppi_c + prbatp_c,R01071
BETALDHy,Betaine-aldehyde dehydrogenase,betald_c + h2o_c + nadp_c <-> glyb_c + 2.0 h_c + nadph_c,R02566
BPNT,"3',5'-bisphosphate nucleotidase",h2o_c + pap_c <-> amp_c + pi_c,R00188
BSORy,Biotin sulfoxide reductase,btnso_c + h_c + nadph_c <-> btn_c + h2o_c + nadp_c,R10127
CAT,Catalase,2.0 h2o2_c <-> 2.0 h2o_c + o2_c,R00009
